n,character,pinyin
1,愛,ài
2,八,bā
3,爸爸,bàba
4,杯子,bēizi
5,北京,Běijīng
6,本,běn
7,不客氣,bú kèqi
8,不,bù
9,菜,cài
10,茶,chá
11,吃,chī
12,計程車,chūzūchē
13,打電話,dǎ diànhuà
14,大,dà
15,的,de
16,點,diǎn
17,電腦,diànnǎo
18,電視,diànshì
19,電影,diànyǐng
20,東西,dōngxi
21,都,dōu
22,讀,dú
23,對不起,duìbuqǐ
24,多,duō
25,多少,duōshao
26,兒子,érzi
27,二,èr
28,飯館,fànguǎn
29,飛機,fēijī
30,分鐘,fēnzhōng
31,高興,gāoxìng
32,個,gè
33,工作,gōngzuò
34,狗,gǒu
35,漢語,Hànyǔ
36,好,hǎo
37,喝,hē
38,和,hé
39,很,hěn
40,後面,hòumiàn
41,回,huí
42,會,huì
43,火車站,huǒchēzhàn
44,幾,jǐ
45,家,jiā
46,叫,jiào
47,今天,jīntiān
48,九,jiǔ
49,開,kāi
50,看,kàn
51,看見,kànjiàn
52,塊,kuài
53,來,lái
54,老師,lǎoshī
55,了,le
56,冷,lěng
57,裡,lǐ
58,零,líng
59,六,liù
60,媽媽,māma
61,嗎,ma
62,買,mǎi
63,貓,māo
64,沒,méi
65,沒關係,méi guānxi
66,米飯,mǐfàn
67,明天,míngtiān
68,名字,míngzi
69,哪（哪兒）,nǎ (nǎr)
70,那（那兒）,nà (nàr)
71,呢,ne
72,能,néng
73,你,nǐ
74,年,nián
75,女兒,nǚ'ér
76,朋友,péngyou
77,漂亮,piàoliang
78,蘋果,píngguǒ
79,七,qī
80,錢,qián
81,前面,qiánmiàn
82,請,qǐng
83,去,qù
84,熱,rè
85,人,rén
86,認識,rènshi
87,日,rì
88,三,sān
89,商店,shāngdiàn
90,上,shàng
91,上午,shàngwǔ
92,少,shǎo
93,誰,shéi
94,什麼,shénme
95,十,shí
96,時候,shíhou
97,是,shì
98,書,shū
99,水,shuǐ
100,水果,shuǐguǒ
101,睡覺,shuìjiào
102,說話,shuōhuà
103,四,sì
104,歲,suì
105,他,tā
106,她,tā
107,太,tài
108,天氣,tiānqì
109,聽,tīng
110,同學,tóngxué
111,喂,wèi
112,我,wǒ
113,我們,wǒmen
114,五,wǔ
115,喜歡,xǐhuan
116,下,xià
117,下午,xiàwǔ
118,下雨,xià yǔ
119,先生,xiānsheng
120,現在,xiànzài
121,想,xiǎng
122,小,xiǎo
123,小姐,xiǎojiě
124,些,xiē
125,寫,xiě
126,謝謝,xièxie
127,星期,xīngqī
128,學生,xuésheng
129,學習,xuéxí
130,學校,xuéxiào
131,一,yī
132,衣服,yīfu
133,醫生,yīshēng
134,醫院,yīyuàn
135,椅子,yǐzi
136,有,yǒu
137,月,yuè
138,在,zài
139,再見,zàijiàn
140,怎麼,zěnme
141,怎麼樣,zěnmeyàng
142,這（這兒）,zhè (zhèr)
143,中國,Zhōngguó
144,中午,zhōngwǔ
145,住,zhù
146,桌子,zhuōzi
147,字,zì
148,昨天,zuótiān
149,坐,zuò
150,做,zuò
